ling,test_lang_status,mode,story,n
Bilingual,L1,retelling,bird,29
Bilingual,L1,retelling,cat,303
Bilingual,L1,retelling,dog,300
Bilingual,L1,retelling,goat,32
Bilingual,L1,telling,bird,369
Bilingual,L1,telling,cat,93
Bilingual,L1,telling,dog,81
Bilingual,L1,telling,goat,424
Bilingual,L2,retelling,bird,98
Bilingual,L2,retelling,cat,316
Bilingual,L2,retelling,dog,268
Bilingual,L2,retelling,goat,111
Bilingual,L2,telling,bird,426
Bilingual,L2,telling,cat,66
Bilingual,L2,telling,dog,69
Bilingual,L2,telling,goat,391
Monolingual,L1,retelling,bird,1
Monolingual,L1,retelling,cat,663
Monolingual,L1,retelling,dog,76
Monolingual,L1,retelling,goat,4
Monolingual,L1,telling,bird,312
Monolingual,L1,telling,cat,636
Monolingual,L1,telling,dog,133
Monolingual,L1,telling,goat,306
